"","Name","Reviews","Ratings","City","State","Country","isClosed","isClaimed"
"1","Lao Sze Chuan-Downtown",115,3.5,"Chicago","IL","US",FALSE,TRUE
"2","Chi Cafe",568,4,"Chicago","IL","US",FALSE,TRUE
"3","Shanghai Terrace at The Peninsula Chicago",147,4,"Chicago","IL","US",FALSE,TRUE
"4","Chengdu Impression",109,4,"Chicago","IL","US",FALSE,TRUE
"5","Lao Sze Chuan",974,3.5,"Chicago","IL","US",FALSE,TRUE
"6","Home Style Taste Chinese",51,4,"Chicago","IL","US",FALSE,FALSE
"7","Yummy Yummy Asian Cuisine",387,4,"Chicago","IL","US",FALSE,TRUE
"8","MingHin Cuisine",896,4,"Chicago","IL","US",FALSE,TRUE
"9","Yum Cha Dim Sum Parlor",203,3.5,"Chicago","IL","US",FALSE,TRUE
"10","Fat Rice",331,4,"Chicago","IL","US",FALSE,TRUE
"11","Lao Hunan",115,3.5,"Chicago","IL","US",FALSE,TRUE
"12","Han 202",219,4,"Chicago","IL","US",FALSE,FALSE
"13","Sun Wah Bar-B-Que",941,4,"Chicago","IL","US",FALSE,FALSE
"14","Go 4 Food",445,4,"Chicago","IL","US",FALSE,TRUE
"15","Yan Bang Cai",47,4,"Chicago","IL","US",FALSE,TRUE
"16","Cheng's Chopsticks",60,4,"Chicago","IL","US",FALSE,FALSE
"17","Wow Bao",450,3.5,"Chicago","IL","US",FALSE,TRUE
"18","Take Me Out",164,4,"Chicago","IL","US",FALSE,TRUE
"19","MAK Restaurant",119,4,"Chicago","IL","US",FALSE,TRUE
"20","Wow Bao",385,3.5,"Chicago","IL","US",FALSE,TRUE
