"","Name","Reviews","Ratings","City","State","Country","isClosed","isClaimed"
"1","Naansense",171,4,"Chicago","IL","US",FALSE,TRUE
"2","India House Restaurant",855,4,"Chicago","IL","US",FALSE,TRUE
"3","Rangoli",320,4,"Chicago","IL","US",FALSE,TRUE
"4","Tandoor Char House",384,4,"Chicago","IL","US",FALSE,TRUE
"5","Bombay Wraps",294,3.5,"Chicago","IL","US",FALSE,TRUE
"6","Jaipur",359,3.5,"Chicago","IL","US",FALSE,TRUE
"7","Cumin",600,4,"Chicago","IL","US",FALSE,TRUE
"8","Mughal India",106,3.5,"Chicago","IL","US",FALSE,TRUE
"9","Gaylord Fine Indian Cuisine",241,3.5,"Chicago","IL","US",FALSE,TRUE
"10","Bombay Wraps",49,4,"Chicago","IL","US",FALSE,TRUE
"11","The Indian Garden",386,3.5,"Chicago","IL","US",FALSE,TRUE
"12","Royal Indian Grill",44,4,"Chicago","IL","US",FALSE,TRUE
"13","Chicago Curry House",343,3.5,"Chicago","IL","US",FALSE,TRUE
"14","Kama Indian Bistro",289,4,"La Grange","IL","US",FALSE,TRUE
"15","Nepal House - Indian and Nepali Cuisine",111,3.5,"Chicago","IL","US",FALSE,TRUE
"16","Ghareeb Nawaz",367,4,"Chicago","IL","US",FALSE,FALSE
"17","Luzzat",167,4.5,"Chicago","IL","US",FALSE,TRUE
"18","Klay Oven",121,3.5,"Oak Park","IL","US",FALSE,TRUE
"19","Khyber Pass",152,3.5,"Oak Park","IL","US",FALSE,FALSE
"20","Ghareeb Nawaz Express",107,3.5,"Chicago","IL","US",FALSE,TRUE
